"infection","Mouse_ID","end_rel_weight","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","Feces_Weight","dpi","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","MC.Eimeria","delta_ct_cewe_MminusE","IFNy_CEWE","IFNy_MES","IRG6","IL.12","IL.12A","PPIB","IL.17A","GAPDH","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","hybrid_status","Parasite_primary","Parasite_challenge","dpi_max","WL_max","origin","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","eimeriaSpecies","Ct.Eimeria","Ct.Mus","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","Ticks","Host","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp","Sperm","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","IFNy","CXCR3","IL.6","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
NA,"AA0397",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8878084872504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",14.1442,52.0172,2017,"d","m","m","m","m","m","m","m","94","95","125","120","100","80","dd","mm","mm","mm","dd","mm",14,0.75,"16/09/17",0.03,4,NA,NA,0,0,"Guhlener dorfstrasse 29 15913 Schwielochser","adult",NA,NA,TRUE,0,0,"Alice","March2018",12,13,20,10,7,16,10,10,12.25,0.1,61250000,8,"mus",9.09,65.73,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,58.12,"15-09-17",NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,10.36,NA,NA,NA,1.85,NA,NA,1.33,0.74,0.22,0.96,0.61,16.08,NA,NA,0.51,0.99,NA,22.39
NA,"AA0399",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3645746089435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",14.1442,52.0172,2017,"d",NA,"mm","mm","mm","mm","mm","mm","100","95","125","120","100","80","mm","mm","mm","mm","dd","mm",13,0.88,"16/09/17",0.07,0,NA,NA,0,0,"Guhlener dorfstrasse 29 15913 Schwielochser","adult",0,0,TRUE,0,0,"Alice","March2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",17.73,85.83,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,42.77,"15-09-17",NA,NA,NA,1555,32.1,NA,NA,NA,4,12,0,0,NA,NA,NA,NA,NA,NA,NA,10.02,NA,NA,NA,NA,5.67,5834.02,19.08,0.05,128.7,NA,NA,NA,1.06,NA,NA
NA,"AA0400",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.81199633971056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",14.1736,52.0892,2017,"m",NA,"mm","mm","mm","dm","dm","dm","100","95/100","125","120","70/90","80","mm","dm","mm","mm","mm","mm",13,0.84,"16/09/17",0.01,0,NA,NA,0,0,"Beeskower strasse 6 ","young",0,0,NA,0,0,"Alice","March2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",8.63,64.55,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,47.5,"15-09-17",NA,NA,NA,NA,NA,NA,NA,NA,0,118,0,0,NA,NA,NA,NA,0.31,NA,NA,NA,0.01,0.78,0.37,NA,0.79,0.01,0.04,NA,0.34,NA,7.71,0.02,0.53,0.05,0.48
NA,"AA0401",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7899066308281,NA,16.4146672858426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",14.1808,52.0747,2017,"m",NA,"mm","mm","mm","mm","mm","mm","100","95","100/125","120",NA,"100","mm","mm","dm","mm",NA,"dd",12,0.869565217,"16/09/17",0.02,0,NA,NA,1,0,"Sawaller dorfstrasse 10 15848","adult",0,0,TRUE,0,1,"Alice","March2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",14.04,75.24,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,67.14,"15-09-17",NA,NA,NA,1194,32.49,NA,NA,NA,0,14,0,0,NA,NA,NA,NA,NA,94.62,NA,2.06,NA,NA,86.47,NA,0.81,NA,2.4,0.07,6.04,NA,NA,NA,1.59,NA,NA
NA,"AA0402",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9002399860275,NA,5.1252119271111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",14.1808,52.0747,2017,"m",NA,"mm","mm","mm","mm","mm","mm","94","95","100/125","100/120","70/100","80","dd","mm","dm","dm","dm","mm",13,0.8,"16/09/17",0.06,0,NA,NA,3,0,"Sawaller dorfstrasse 10 15848","adult",0,0,TRUE,0,0,"Alice","March2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",20.85,83.73,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,88.63,"15-09-17",NA,NA,NA,1721,31.95,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,17.63,0.49,1.73,87.94,9.63,0.72,1.54,11.85,1.11,4.43,1.54,2.5,0.04,1.76,NA,2.17,1.82,NA,0.21
NA,"AA0404",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.78585497555035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",14.1736,52.0892,2017,"m",NA,"mm","mm","mm","dm","dm","dd","100","95/100","125","120","70/90","80","mm","dm","mm","mm","mm","mm",13,0.8,"16/09/17",0.02,0,NA,NA,0,0,"Beeskower strasse 6 ","young",0,0,NA,0,0,"Alice","March2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",8.06,60.24,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,54.37,"15-09-17",NA,NA,NA,0,0,NA,NA,NA,0,18,0,0,NA,NA,NA,NA,1.49,0.99,NA,11.59,1.18,NA,0.19,0.51,0.76,0.17,0.61,0.53,0.01,2.13,1.38,NA,0.63,2.51,0.07
NA,"AA0406",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5497268251598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",13.4864,53.1275,2017,"m",NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",13,0.92,"16/09/17",0.03,0,NA,NA,0,0,"Lychenerstrasse 28 17268 templin","adult",0,0,NA,0,0,"Alice","March2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",13.4,73.71,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,63.71,"15-09-17",NA,NA,NA,0,0,NA,NA,NA,0,20,0,0,NA,NA,NA,NA,0.2,NA,NA,NA,0.14,1.58,NA,NA,0.91,NA,0.09,NA,1.18,NA,NA,0.08,0.89,NA,NA
NA,"AA0407",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3445049770253,NA,11.4289291175118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",14.1442,52.0172,2017,"d","m","m","m","m","m","m","m","94","95","125","120","100","80/100","dd","mm","mm","mm","dd","dm",13,0.684210526,"16/09/17",0.02,0,NA,NA,0,0,"Guhlener dorfstrasse 29 15913 Schwielochser","adult",NA,NA,TRUE,0,0,"Alice","March2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",10.87,70.13,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,59.16,"15-09-17",NA,NA,NA,845,33,NA,NA,NA,3,0,0,0,NA,NA,NA,NA,NA,3.37,NA,7.08,0.46,NA,NA,0.35,1.16,0.02,0.57,0.16,0.14,NA,NA,1.1,1.63,NA,3.86
NA,"AA0408",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7694923440975,NA,8.32418910310815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",14.1442,52.0172,2017,"d",NA,"mm","mm","mm","mm","mm","mm","94","95","125","120","70/100","80/100","dd","mm","mm","mm","dm","dm",13,0.8,"16/09/17",0.03,0,NA,NA,0,0,"Guhlener dorfstrasse 29 15913 Schwielochser","adult",0,0,NA,0,0,"Alice","March2018",10,7,8,8,7,5,7,4,7,0.1,1794871.79487179,8,"mus",12.48,69.31,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,63.5,"15-09-17",NA,NA,NA,206,35.08,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,9.35,0.45,NA,0.14,3.43,0.21,6.91,4.06,0.59,1.08,1.3,1.53,32.03,9.45,NA,1.48,0.73,2.84,1.41
NA,"AA0412",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6986422601841,NA,6.59627416647612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",14.180929,52.074772,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/09/17",0.06,0,NA,NA,0,0,"Sawaller dorfstrasse 10 15848","pregnant",2,0,TRUE,0,0,"Alice","June2018",0,0,0,0,0,0,0,0,0,0.1,0,8,NA,22.85,86.27,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,76.94,"15-09-17",NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,39.06,0.06,0.08,47.47,1.08,25.05,11.86,17.91,0.04,0.9,NA,0,1.13,NA,NA
NA,"AA0413",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2040025650596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",14.1808,52.0747,2017,"m",NA,"mm","dm","dm","dm","dm","dd","94",NA,"100/125","100","100","80/100","dd",NA,"dm","dd","dd","dm",12,0.391304348,"16/09/17",0.05,0,NA,NA,17,0,"Sawaller dorfstrasse 10 15848","adult",0,0,TRUE,0,0,"Alice","March2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",20.03,84.76,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,79.89,"15-09-17",NA,NA,NA,0,0,NA,NA,NA,6,26,0,0,NA,NA,NA,NA,0.25,NA,NA,0.33,NA,NA,NA,0.44,1.59,NA,0.26,0.02,11.99,NA,NA,1.4,1.18,NA,17.74
